"Topic Level 1","Topic Level 2","Topic Level 3",,
"Co-ordination and Response in Humans","Describe the signs, such as an increased blood glucose level and glucose in urine, and the treatment of diabetes mellitus using insulin",,,
"Reproduction","Define asexual reproduction as the process resulting in the production of genetically identical offspring from one parent ",,,
"Reproduction","Define sexual reproduction as the process involving the fusion of nuclei to form a zygote and the production of genetically dissimilar offspring",,,
"Reproduction","Identify and draw, using a hand lens if necessary, the sepals, petals, stamens and carpels of one, locally available, named, insect-pollinated, dicotyledonous flower, and examine the pollen grains using a microscope ",,,
"Reproduction","State the functions of the sepals, petals, anthers and carpels ",,,
"Reproduction","Use a hand lens to identify and describe the stamens and stigmas of one, locally available, named, wind-pollinated flower, and examine the pollen grains using a microscope",,,
"Reproduction","Outline the process of pollination and distinguish between self-pollination and cross-pollination",,,
"Reproduction","Compare, using fresh specimens, an insect-pollinated and a wind-pollinated flower",,,
"Reproduction","Describe the growth of the pollen tube and its entry into the ovule followed by fertilisation (production of endosperm and details of development are not required) ",,,
"Reproduction","Identify on diagrams, the male reproductive system and give the functions of: testes, scrotum, sperm ducts, prostate gland, urethra and penis",,,
"Reproduction","Identify on diagrams, the female reproductive system and give the functions of: ovaries, oviducts, uterus, cervix and vagina ",,,
"Reproduction","Briefly describe the menstrual cycle with reference to the alternation of menstruation and ovulation, the natural variation in its length, and the fertile and infertile phases of the cycle with reference to the effects of progesterone and estrogen only",,,
"Reproduction","Describe fertilisation and early development of the zygote simply in terms of the formation of a ball of cells which becomes implanted in the wall of the uterus",,,
"Reproduction","State the functions of the amniotic sac and the amniotic fluid",,,
"Reproduction","Describe the function of the placenta and umbilical cord in relation to exchange of dissolved nutrients, gases and excretory products (structural details are not required)",,,
"Reproduction","Discuss the spread of human immunodeficiency virus (HIV) and methods by which it may be controlled",,,
"Cell Division","State the importance of mitosis in growth, repair and asexual reproduction",,,
"Cell Division","Explain the need for the production of genetically identical cells",,,
"Cell Division","Identify, with the aid of diagrams, the main stages of mitosis",,,
"Cell Division","State what is meant by homologous pairs of chromosomes ",,,
"Cell Division","Identify, with the aid of diagrams, the main stages of meiosis (names of the sub-divisions of prophase are not required) ",,,
"Cell Division","Define the terms haploid and diploid, and explain the need for a reduction division process prior to fertilisation in sexual reproduction",,,
"Cell Division","State how meiosis and fertilisation can lead to variation",,,
"Molecular Genetics","Outline the relationship between DNA, genes and chromosomes",,,
"Molecular Genetics","State the structure of DNA in terms of the bases, sugar and phosphate groups found in each of their nucleotides ",,,
"Molecular Genetics","State the rule of complementary base pairing",,,
"Molecular Genetics","State that DNA is used to carry the genetic code, which is used to synthesise specific polypeptides (details of transcription and translation are not required)",,,
"Molecular Genetics","State that each gene is a sequence of nucleotides, as part of a DNA molecule ",,,
"Molecular Genetics","Explain that genes may be transferred between cells. Reference should be made to the transfer of genes between organisms of the same species or different species – transgenic plants or animals ",,,
"Molecular Genetics","Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ",,,
"Molecular Genetics","Discuss the social and ethical implications of genetic engineering, with reference to a named example ",,,
"Inheritance","Define a gene as a unit of inheritance and distinguish clearly between the terms gene and allele",,,
"Inheritance","Explain the terms dominant, recessive, codominant, homozygous, heterozygous, phenotype and genotype ",,,
"Inheritance","Predict the results of simple crosses with expected ratios of 3:1 and 1:1, using the terms homozygous, heterozygous, F1 generation and F2 generation ",,,
"Inheritance","Explain why observed ratios often differ from expected ratios, especially when there are small numbers of progeny ",,,
"Inheritance","Use genetic diagrams to solve problems involving monohybrid inheritance (genetic diagrams involving autosomal linkage or epistasis are not required) ",,,
"Inheritance","Explain co-dominance and multiple alleles with reference to the inheritance of the ABO blood group phenotypes (A, B, AB and O) and the gene alleles (Iᴬ, Iᴮ and Iᴼ)",,,
"Inheritance","Describe the determination of sex in humans – XX and XY chromosomes ",,,
"Inheritance","Describe mutation as a change in the structure of a gene such as in sickle cell anaemia, or in the chromosome number, such as the 47 chromosomes in the condition known as Down syndrome",,,
"Inheritance","Name radiation and chemicals as factors which may increase the rate of mutation",,,
"Inheritance","Describe the difference between continuous and discontinuous variation and give examples of each ",,,
"Inheritance","State that variation and competition lead to differential survival of, and reproduction by, those organisms best fitted to the environment ",,,
"Inheritance","Give examples of environmental factors that act as forces of natural selection ",,,
"Inheritance","Explain the role of natural selection as a possible mechanism for evolution",,,
"Inheritance","Give examples of artificial selection such as in the production of economically important plants and animals",,,
"Organisms and their Environment","Briefly describe the non-cyclical nature of energy flow",,,
"Organisms and their Environment","Explain the terms producer, consumer and trophic level in the context of food chains and food webs ",,,
"Organisms and their Environment","Explain how energy losses occur along food chains, and discuss the efficiency of energy transfer between trophic levels",,,
"Organisms and their Environment","Describe and interpret pyramids of numbers and biomass ",,,
"Organisms and their Environment","Describe how carbon is cycled within an ecosystem and outline the role of forests and oceans as carbon sinks",,,
"Organisms and their Environment","Evaluate the effects of","Water pollution by sewage and by inorganic waste ",,
"Organisms and their Environment","Evaluate the effects of","Pollution due to insecticides including bioaccumulation up food chains and impact on top carnivores",,
"Organisms and their Environment","Outline the roles of microorganisms in sewage treatment as an example of environmental biotechnology",,,
"Organisms and their Environment","Discuss reasons for conservation of species with reference to the maintenance of biodiversity and how this is done, e.g. management of fisheries and management of timber production",,,
